UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
238005,"R",55,"R",6,"R",49,"R",0,"R",0,"R",0,"R",8,"R",3,"R",5,"R",6,"R",0,"R",6,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",40,"R",3,"R",37,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
238014,"R",365,"R",81,"R",284,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",7,"R",2,"R",5,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",351,"R",77,"R",274,"R",2,"R",1,"R",1,"R",1,"R",0,"R",1,"R",2,"R",0,"R",2
238032,"R",5989,"R",2889,"R",3100,"R",12,"R",6,"R",6,"R",113,"R",58,"R",55,"R",167,"R",86,"R",81,"R",124,"R",67,"R",57,"R",4,"R",3,"R",1,"R",5065,"R",2382,"R",2683,"R",107,"R",59,"R",48,"R",45,"R",24,"R",21,"R",352,"R",204,"R",148
238078,"R",343,"R",127,"R",216,"R",1,"Z",0,"R",1,"R",9,"R",6,"R",3,"R",8,"R",4,"R",4,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"R",283,"R",99,"R",184,"Z",0,"Z",0,"Z",0,"R",38,"R",15,"R",23,"R",1,"R",1,"Z",0
238096,"R",31,"R",5,"R",26,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",5,"R",24,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
238166,"R",49,"R",2,"R",47,"R",0,"R",0,"R",0,"R",4,"R",0,"R",4,"R",16,"R",1,"R",15,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",27,"R",1,"R",26,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
238175,"R",122,"R",2,"R",120,"R",0,"R",0,"R",0,"R",3,"R",0,"R",3,"R",3,"R",0,"R",3,"R",7,"R",0,"R",7,"R",0,"R",0,"R",0,"R",109,"R",2,"R",107,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
238193,"R",519,"R",17,"R",502,"R",4,"R",0,"R",4,"R",24,"R",1,"R",23,"R",63,"R",0,"R",63,"R",59,"R",0,"R",59,"R",1,"R",0,"R",1,"R",359,"R",15,"R",344,"R",5,"R",0,"R",5,"R",0,"R",0,"R",0,"R",4,"R",1,"R",3
238263,"R",3924,"R",1417,"R",2507,"R",14,"R",9,"R",5,"R",131,"R",53,"R",78,"R",152,"R",67,"R",85,"R",217,"R",77,"R",140,"R",3,"R",2,"R",1,"R",3187,"R",1118,"R",2069,"R",86,"R",26,"R",60,"R",105,"R",50,"R",55,"R",29,"R",15,"R",14
238324,"R",101,"R",9,"R",92,"R",2,"Z",0,"R",2,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",93,"R",7,"R",86,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0
238333,"R",298,"R",121,"R",177,"R",3,"R",1,"R",2,"R",3,"R",0,"R",3,"R",6,"R",3,"R",3,"R",26,"R",8,"R",18,"R",0,"R",0,"R",0,"R",205,"R",83,"R",122,"R",14,"R",7,"R",7,"R",7,"R",4,"R",3,"R",34,"R",15,"R",19
238397,"R",850,"R",313,"R",537,"R",1,"R",0,"R",1,"R",7,"R",6,"R",1,"R",41,"R",9,"R",32,"R",66,"R",30,"R",36,"R",2,"R",1,"R",1,"R",693,"R",244,"R",449,"R",21,"R",11,"R",10,"R",19,"R",12,"R",7,"R",0,"R",0,"R",0
238430,"R",1295,"R",445,"R",850,"R",5,"R",3,"R",2,"R",23,"R",10,"R",13,"R",224,"R",52,"R",172,"R",68,"R",26,"R",42,"R",2,"R",1,"R",1,"R",883,"R",327,"R",556,"R",14,"R",1,"R",13,"R",53,"R",14,"R",39,"R",23,"R",11,"R",12
238458,"R",705,"R",228,"R",477,"Z",0,"Z",0,"Z",0,"R",15,"R",7,"R",8,"R",8,"R",5,"R",3,"R",25,"R",9,"R",16,"R",1,"R",1,"Z",0,"R",635,"R",201,"R",434,"R",10,"R",2,"R",8,"R",2,"Z",0,"R",2,"R",9,"R",3,"R",6
238476,"R",570,"R",248,"R",322,"R",3,"R",2,"R",1,"R",14,"R",5,"R",9,"R",13,"R",6,"R",7,"R",30,"R",15,"R",15,"R",0,"R",0,"R",0,"R",460,"R",204,"R",256,"R",0,"R",0,"R",0,"R",50,"R",16,"R",34,"R",0,"R",0,"R",0
238573,"R",66,"R",7,"R",59,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"Z",0,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",53,"R",6,"R",47,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"R",2,"Z",0,"Z",0,"Z",0
238616,"R",1579,"R",551,"R",1028,"R",10,"R",4,"R",6,"R",23,"R",9,"R",14,"R",128,"R",25,"R",103,"R",4,"R",1,"R",3,"R",0,"R",0,"R",0,"R",1025,"R",320,"R",705,"R",25,"R",7,"R",18,"R",198,"R",67,"R",131,"R",166,"R",118,"R",48
238661,"R",596,"R",176,"R",420,"R",1,"R",1,"Z",0,"R",11,"R",1,"R",10,"R",14,"R",8,"R",6,"R",27,"R",9,"R",18,"R",1,"Z",0,"R",1,"R",505,"R",153,"R",352,"R",10,"R",1,"R",9,"R",10,"R",2,"R",8,"R",17,"R",1,"R",16
238722,"R",2645,"R",1213,"R",1432,"R",29,"R",13,"R",16,"R",57,"R",24,"R",33,"R",38,"R",24,"R",14,"R",82,"R",30,"R",52,"R",2,"R",2,"R",0,"R",2267,"R",1044,"R",1223,"R",1,"R",1,"R",0,"R",168,"R",74,"R",94,"R",1,"R",1,"R",0
238759,"R",2091,"R",601,"R",1490,"R",12,"R",2,"R",10,"R",36,"R",8,"R",28,"R",203,"R",45,"R",158,"R",221,"R",52,"R",169,"R",3,"R",1,"R",2,"R",1553,"R",478,"R",1075,"R",53,"R",12,"R",41,"R",10,"R",3,"R",7,"Z",0,"Z",0,"Z",0
238786,"R",88,"R",3,"R",85,"R",2,"R",0,"R",2,"R",4,"R",0,"R",4,"R",2,"R",2,"R",0,"R",5,"R",0,"R",5,"R",0,"R",0,"R",0,"R",75,"R",1,"R",74,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
238810,"R",72,"R",5,"R",67,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",67,"R",5,"R",62,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0
238892,"R",269,"R",221,"R",48,"R",4,"R",3,"R",1,"R",14,"R",14,"Z",0,"R",57,"R",46,"R",11,"R",42,"R",32,"R",10,"Z",0,"Z",0,"Z",0,"R",149,"R",124,"R",25,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0
238980,"R",714,"R",253,"R",461,"R",8,"R",1,"R",7,"R",20,"R",7,"R",13,"R",26,"R",8,"R",18,"R",26,"R",12,"R",14,"R",0,"R",0,"Z",0,"R",590,"R",208,"R",382,"R",1,"R",1,"R",0,"R",7,"R",3,"R",4,"R",36,"R",13,"R",23
239008,"R",975,"R",357,"R",618,"R",3,"R",1,"R",2,"R",52,"R",12,"R",40,"R",5,"R",1,"R",4,"R",10,"R",3,"R",7,"Z",0,"Z",0,"Z",0,"R",873,"R",327,"R",546,"R",24,"R",11,"R",13,"R",8,"R",2,"R",6,"Z",0,"Z",0,"Z",0
239017,"R",289,"R",142,"R",147,"R",1,"R",1,"R",0,"R",4,"R",3,"R",1,"R",7,"R",3,"R",4,"R",12,"R",7,"R",5,"R",1,"R",0,"R",1,"R",236,"R",117,"R",119,"R",8,"R",6,"R",2,"R",1,"R",0,"R",1,"R",19,"R",5,"R",14
239071,"R",177,"R",95,"R",82,"R",1,"R",1,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",160,"R",84,"R",76,"R",4,"Z",0,"R",4,"R",9,"R",8,"R",1,"R",1,"R",1,"Z",0
239080,"R",611,"R",167,"R",444,"R",7,"R",1,"R",6,"R",12,"R",1,"R",11,"R",21,"R",8,"R",13,"R",20,"R",3,"R",17,"R",2,"R",1,"R",1,"R",535,"R",144,"R",391,"R",2,"R",1,"R",1,"R",9,"R",5,"R",4,"R",3,"R",3,"Z",0
